Day;Hours;Price(DKK/Mwh)
07-01-2016;19 - 20;277.44
07-01-2016;20 - 21;238.27
07-01-2016;21 - 22;192.99
07-01-2016;22 - 23;160.76
07-01-2016;23 - 00;151.14
08-01-2016;00 - 01;157.09
08-01-2016;01 - 02;150.37
08-01-2016;02 - 03;147.54
08-01-2016;03 - 04;148.14
08-01-2016;04 - 05;150.45
08-01-2016;05 - 06;154.63
08-01-2016;06 - 07;164.25
08-01-2016;07 - 08;223.1
08-01-2016;08 - 09;321.93
08-01-2016;09 - 10;326.03
08-01-2016;10 - 11;323.94
08-01-2016;11 - 12;275.61
08-01-2016;12 - 13;240.7
08-01-2016;13 - 14;199.75
08-01-2016;14 - 15;205.87
08-01-2016;15 - 16;239.28
08-01-2016;16 - 17;283.96
08-01-2016;17 - 18;344.31
08-01-2016;18 - 19;350.35
08-01-2016;19 - 20;299.03
08-01-2016;20 - 21;213.1
08-01-2016;21 - 22;187.15
08-01-2016;22 - 23;181.4
08-01-2016;23 - 00;169.02
09-01-2016;00 - 01;182.82
09-01-2016;01 - 02;174.84
09-01-2016;02 - 03;169.99
09-01-2016;03 - 04;167.75
09-01-2016;04 - 05;163.8
09-01-2016;05 - 06;165.96
09-01-2016;06 - 07;167.01
09-01-2016;07 - 08;171.33
09-01-2016;08 - 09;178.64
09-01-2016;09 - 10;184.24
09-01-2016;10 - 11;197.59
09-01-2016;11 - 12;200.87
09-01-2016;12 - 13;196.32
09-01-2016;13 - 14;188.86
09-01-2016;14 - 15;185.36
09-01-2016;15 - 16;194.9
09-01-2016;16 - 17;222.05
09-01-2016;17 - 18;269.27
09-01-2016;18 - 19;207.88
09-01-2016;19 - 20;183.72
09-01-2016;20 - 21;172.53
09-01-2016;21 - 22;168.35
09-01-2016;22 - 23;164.62
09-01-2016;23 - 00;158.58
10-01-2016;00 - 01;159.03
10-01-2016;01 - 02;148.67
10-01-2016;02 - 03;146.58
10-01-2016;03 - 04;144.94
10-01-2016;04 - 05;143.59
10-01-2016;05 - 06;144.64
10-01-2016;06 - 07;144.19
10-01-2016;07 - 08;145.98
10-01-2016;08 - 09;145.38
10-01-2016;09 - 10;150.31
10-01-2016;10 - 11;156.27
10-01-2016;11 - 12;161.05
10-01-2016;12 - 13;162.84
10-01-2016;13 - 14;159.11
10-01-2016;14 - 15;158.29
10-01-2016;15 - 16;163.96
10-01-2016;16 - 17;178.43
10-01-2016;17 - 18;193.65
10-01-2016;18 - 19;185.89
10-01-2016;19 - 20;181.56
10-01-2016;20 - 21;177.46
10-01-2016;21 - 22;171.86
10-01-2016;22 - 23;166.64
10-01-2016;23 - 00;161.79
11-01-2016;00 - 01;159.41
11-01-2016;01 - 02;149.49
11-01-2016;02 - 03;147.55
11-01-2016;03 - 04;144.41
11-01-2016;04 - 05;146.8
11-01-2016;05 - 06;160.82
11-01-2016;06 - 07;180.82
11-01-2016;07 - 08;303
11-01-2016;08 - 09;342.61
11-01-2016;09 - 10;328.21
11-01-2016;10 - 11;312.85
11-01-2016;11 - 12;305.54
11-01-2016;12 - 13;308.15
11-01-2016;13 - 14;306.51
11-01-2016;14 - 15;290.32
11-01-2016;15 - 16;279.73
11-01-2016;16 - 17;283.08
11-01-2016;17 - 18;333.36
11-01-2016;18 - 19;319.86
11-01-2016;19 - 20;291.21
11-01-2016;20 - 21;240.94
11-01-2016;21 - 22;189.84
11-01-2016;22 - 23;171.94
11-01-2016;23 - 00;161.72
12-01-2016;00 - 01;157.48
12-01-2016;01 - 02;147.78
12-01-2016;02 - 03;142.49
12-01-2016;03 - 04;137.34
12-01-2016;04 - 05;141.74
12-01-2016;05 - 06;155.99
12-01-2016;06 - 07;176.5
12-01-2016;07 - 08;261.55
12-01-2016;08 - 09;294.89
12-01-2016;09 - 10;305.86
12-01-2016;10 - 11;288.4
12-01-2016;11 - 12;271.99
12-01-2016;12 - 13;261.1
12-01-2016;13 - 14;248.42
12-01-2016;14 - 15;240.29
12-01-2016;15 - 16;246.18
12-01-2016;16 - 17;352.56
12-01-2016;17 - 18;417.54
12-01-2016;18 - 19;300.86
12-01-2016;19 - 20;221.49
12-01-2016;20 - 21;194.33
12-01-2016;21 - 22;184.71
12-01-2016;22 - 23;173.82
12-01-2016;23 - 00;160.46
13-01-2016;00 - 01;156.67
13-01-2016;01 - 02;146.67
13-01-2016;02 - 03;139.66
13-01-2016;03 - 04;139.21
13-01-2016;04 - 05;144.06
13-01-2016;05 - 06;159.21
13-01-2016;06 - 07;175.47
13-01-2016;07 - 08;205.16
