Day;Hours;Price(DKK/Mwh)
04-02-2016;01 - 02;122.22
04-02-2016;02 - 03;119.31
04-02-2016;03 - 04;114.09
04-02-2016;04 - 05;115.8
04-02-2016;05 - 06;125.35
04-02-2016;06 - 07;133.79
04-02-2016;07 - 08;149.83
04-02-2016;08 - 09;147.07
04-02-2016;09 - 10;145.87
04-02-2016;10 - 11;145.5
04-02-2016;11 - 12;142.07
04-02-2016;12 - 13;139.76
04-02-2016;13 - 14;138.71
04-02-2016;14 - 15;138.34
04-02-2016;15 - 16;138.93
04-02-2016;16 - 17;141.32
04-02-2016;17 - 18;149.16
04-02-2016;18 - 19;149.01
04-02-2016;19 - 20;144.76
04-02-2016;20 - 21;140.8
04-02-2016;21 - 22;137.74
04-02-2016;22 - 23;134.46
04-02-2016;23 - 00;130.88
05-02-2016;00 - 01;132.31
05-02-2016;01 - 02;131.34
05-02-2016;02 - 03;131.19
05-02-2016;03 - 04;133.13
05-02-2016;04 - 05;135.22
05-02-2016;05 - 06;137.54
05-02-2016;06 - 07;145.07
05-02-2016;07 - 08;188.88
05-02-2016;08 - 09;272.31
05-02-2016;09 - 10;225.37
05-02-2016;10 - 11;190.37
05-02-2016;11 - 12;155.97
05-02-2016;12 - 13;152.01
05-02-2016;13 - 14;148.36
05-02-2016;14 - 15;147.31
05-02-2016;15 - 16;147.01
05-02-2016;16 - 17;148.36
05-02-2016;17 - 18;157.09
05-02-2016;18 - 19;152.31
05-02-2016;19 - 20;147.09
05-02-2016;20 - 21;142.68
05-02-2016;21 - 22;137.39
05-02-2016;22 - 23;133.51
05-02-2016;23 - 00;129.48
06-02-2016;00 - 01;127
06-02-2016;01 - 02;120.81
06-02-2016;02 - 03;119.47
06-02-2016;03 - 04;111.19
06-02-2016;04 - 05;107.9
06-02-2016;05 - 06;108.42
06-02-2016;06 - 07;112.6
06-02-2016;07 - 08;119.99
06-02-2016;08 - 09;121.78
06-02-2016;09 - 10;123.72
06-02-2016;10 - 11;124.92
06-02-2016;11 - 12;123.12
06-02-2016;12 - 13;120.07
06-02-2016;13 - 14;115.51
06-02-2016;14 - 15;114.69
06-02-2016;15 - 16;115.96
06-02-2016;16 - 17;123.87
06-02-2016;17 - 18;133.8
06-02-2016;18 - 19;132.9
06-02-2016;19 - 20;128.27
06-02-2016;20 - 21;119.92
06-02-2016;21 - 22;115.96
06-02-2016;22 - 23;114.24
06-02-2016;23 - 00;110.51
07-02-2016;00 - 01;107.98
07-02-2016;01 - 02;103.42
07-02-2016;02 - 03;101.48
07-02-2016;03 - 04;99.17
07-02-2016;04 - 05;96.41
07-02-2016;05 - 06;98.95
07-02-2016;06 - 07;101.48
07-02-2016;07 - 08;108.05
07-02-2016;08 - 09;109.02
07-02-2016;09 - 10;113.57
07-02-2016;10 - 11;115.44
07-02-2016;11 - 12;115.44
07-02-2016;12 - 13;113.13
07-02-2016;13 - 14;111.33
07-02-2016;14 - 15;109.02
07-02-2016;15 - 16;109.32
07-02-2016;16 - 17;109.69
07-02-2016;17 - 18;122.6
07-02-2016;18 - 19;128.2
07-02-2016;19 - 20;125.36
07-02-2016;20 - 21;121.18
07-02-2016;21 - 22;115.14
07-02-2016;22 - 23;112.23
07-02-2016;23 - 00;74.17
08-02-2016;00 - 01;75.74
08-02-2016;01 - 02;59.62
08-02-2016;02 - 03;39.1
08-02-2016;03 - 04;50
08-02-2016;04 - 05;87.83
08-02-2016;05 - 06;98.8
08-02-2016;06 - 07;110.22
08-02-2016;07 - 08;120.66
08-02-2016;08 - 09;123.5
08-02-2016;09 - 10;122.45
08-02-2016;10 - 11;123.57
08-02-2016;11 - 12;123.95
08-02-2016;12 - 13;122.01
08-02-2016;13 - 14;120.14
08-02-2016;14 - 15;120.51
08-02-2016;15 - 16;122.01
08-02-2016;16 - 17;121.63
08-02-2016;17 - 18;130.29
08-02-2016;18 - 19;129.09
08-02-2016;19 - 20;127.15
08-02-2016;20 - 21;120.51
08-02-2016;21 - 22;114.84
08-02-2016;22 - 23;111.48
08-02-2016;23 - 00;104.47
09-02-2016;00 - 01;-19.77
09-02-2016;01 - 02;-5.3
09-02-2016;02 - 03;-5.45
09-02-2016;03 - 04;-0.15
09-02-2016;04 - 05;0.3
09-02-2016;05 - 06;23.21
09-02-2016;06 - 07;124.32
09-02-2016;07 - 08;132.9
09-02-2016;08 - 09;134.09
09-02-2016;09 - 10;133.27
09-02-2016;10 - 11;132.3
09-02-2016;11 - 12;131.41
09-02-2016;12 - 13;130.96
09-02-2016;13 - 14;131.93
09-02-2016;14 - 15;132.38
09-02-2016;15 - 16;134.47
09-02-2016;16 - 17;136.48
09-02-2016;17 - 18;140.74
09-02-2016;18 - 19;140.29
09-02-2016;19 - 20;139.17
09-02-2016;20 - 21;137.9
09-02-2016;21 - 22;135.66
09-02-2016;22 - 23;132.97
09-02-2016;23 - 00;123.12
10-02-2016;00 - 01;122.33
10-02-2016;01 - 02;119.64
10-02-2016;02 - 03;119.64
10-02-2016;03 - 04;119.57
10-02-2016;04 - 05;120.54
10-02-2016;05 - 06;125.46
10-02-2016;06 - 07;136.21
10-02-2016;07 - 08;146.59
10-02-2016;08 - 09;149.2
10-02-2016;09 - 10;150.02
10-02-2016;10 - 11;162.33
10-02-2016;11 - 12;158.3
10-02-2016;12 - 13;148.15
10-02-2016;13 - 14;147.03
10-02-2016;14 - 15;149.12
10-02-2016;15 - 16;146.81
10-02-2016;16 - 17;155.47
10-02-2016;17 - 18;233.83
10-02-2016;18 - 19;266.6
10-02-2016;19 - 20;148.97
10-02-2016;20 - 21;144.94
10-02-2016;21 - 22;140.61
10-02-2016;22 - 23;133.9
10-02-2016;23 - 00;128.45
11-02-2016;00 - 01;132.28
11-02-2016;01 - 02;130.34
11-02-2016;02 - 03;126.23
11-02-2016;03 - 04;126.68
11-02-2016;04 - 05;131.83
11-02-2016;05 - 06;135.12
11-02-2016;06 - 07;145.79
11-02-2016;07 - 08;178.19
11-02-2016;08 - 09;184.61
11-02-2016;09 - 10;156.54
11-02-2016;10 - 11;153.85
11-02-2016;11 - 12;151.54
11-02-2016;12 - 13;149.9
11-02-2016;13 - 14;149.6
11-02-2016;14 - 15;148.78
11-02-2016;15 - 16;148.33
11-02-2016;16 - 17;150.05
11-02-2016;17 - 18;218.72
11-02-2016;18 - 19;268.59
11-02-2016;19 - 20;152.58
11-02-2016;20 - 21;148.78
11-02-2016;21 - 22;144.52
11-02-2016;22 - 23;138.1
11-02-2016;23 - 00;133.55
12-02-2016;00 - 01;133.81
12-02-2016;01 - 02;132.32
12-02-2016;02 - 03;131.57
12-02-2016;03 - 04;132.54
12-02-2016;04 - 05;134.33
12-02-2016;05 - 06;137.54
12-02-2016;06 - 07;146.95
12-02-2016;07 - 08;217.02
12-02-2016;08 - 09;271.65
12-02-2016;09 - 10;254.71
12-02-2016;10 - 11;252.7
12-02-2016;11 - 12;243.82
12-02-2016;12 - 13;212.4
12-02-2016;13 - 14;182.4
12-02-2016;14 - 15;149.86
12-02-2016;15 - 16;148.29
12-02-2016;16 - 17;151.5
12-02-2016;17 - 18;257.92
12-02-2016;18 - 19;301.21
12-02-2016;19 - 20;265.38
12-02-2016;20 - 21;146.27
12-02-2016;21 - 22;142.17
12-02-2016;22 - 23;138.07
12-02-2016;23 - 00;134.33
13-02-2016;00 - 01;137.45
13-02-2016;01 - 02;134.84
13-02-2016;02 - 03;132.75
13-02-2016;03 - 04;133.12
13-02-2016;04 - 05;133.72
13-02-2016;05 - 06;135.29
13-02-2016;06 - 07;133.64
13-02-2016;07 - 08;135.96
13-02-2016;08 - 09;136.85
13-02-2016;09 - 10;141.55
13-02-2016;10 - 11;142.9
13-02-2016;11 - 12;142.6
13-02-2016;12 - 13;140.81
13-02-2016;13 - 14;138.79
13-02-2016;14 - 15;138.42
13-02-2016;15 - 16;138.2
13-02-2016;16 - 17;143.35
13-02-2016;17 - 18;152.9
13-02-2016;18 - 19;153.12
13-02-2016;19 - 20;146.48
13-02-2016;20 - 21;142.6
13-02-2016;21 - 22;138.42
13-02-2016;22 - 23;134.76
13-02-2016;23 - 00;129.02
14-02-2016;00 - 01;127.92
14-02-2016;01 - 02;125.16
14-02-2016;02 - 03;123.52
14-02-2016;03 - 04;123.07
14-02-2016;04 - 05;124.04
14-02-2016;05 - 06;125.61
14-02-2016;06 - 07;126.43
14-02-2016;07 - 08;126.2
14-02-2016;08 - 09;127.84
14-02-2016;09 - 10;130.98
14-02-2016;10 - 11;132.02
14-02-2016;11 - 12;133.14
14-02-2016;12 - 13;132.02
14-02-2016;13 - 14;129.41
14-02-2016;14 - 15;121.43
14-02-2016;15 - 16;112.92
14-02-2016;16 - 17;126.58
14-02-2016;17 - 18;158.29
14-02-2016;18 - 19;142.25
14-02-2016;19 - 20;139.64
14-02-2016;20 - 21;136.43
14-02-2016;21 - 22;133.96
14-02-2016;22 - 23;132.77
14-02-2016;23 - 00;130.76
15-02-2016;00 - 01;127.84
15-02-2016;01 - 02;123.37
15-02-2016;02 - 03;119.19
15-02-2016;03 - 04;121.13
15-02-2016;04 - 05;125.38
15-02-2016;05 - 06;129.41
15-02-2016;06 - 07;138.52
15-02-2016;07 - 08;223.37
15-02-2016;08 - 09;219.94
15-02-2016;09 - 10;236.36
15-02-2016;10 - 11;225.09
15-02-2016;11 - 12;163.59
15-02-2016;12 - 13;153.82
15-02-2016;13 - 14;150.23
15-02-2016;14 - 15;146.28
15-02-2016;15 - 16;144.71
15-02-2016;16 - 17;151.13
15-02-2016;17 - 18;207.25
15-02-2016;18 - 19;219.72
15-02-2016;19 - 20;165.61
15-02-2016;20 - 21;147.32
15-02-2016;21 - 22;141.13
15-02-2016;22 - 23;137.85
15-02-2016;23 - 00;133.14
16-02-2016;00 - 01;135.98
16-02-2016;01 - 02;135.38
16-02-2016;02 - 03;135.01
16-02-2016;03 - 04;136.27
16-02-2016;04 - 05;139.18
16-02-2016;05 - 06;141.27
16-02-2016;06 - 07;178.07
16-02-2016;07 - 08;294.64
16-02-2016;08 - 09;314.04
16-02-2016;09 - 10;316.58
16-02-2016;10 - 11;282.92
16-02-2016;11 - 12;266.58
16-02-2016;12 - 13;246.8
16-02-2016;13 - 14;244.56
16-02-2016;14 - 15;236.58
16-02-2016;15 - 16;239.49
16-02-2016;16 - 17;189.49
16-02-2016;17 - 18;294.49
16-02-2016;18 - 19;319.49
16-02-2016;19 - 20;226.5
16-02-2016;20 - 21;146.8
16-02-2016;21 - 22;140.16
16-02-2016;22 - 23;136.2
16-02-2016;23 - 00;130.9
17-02-2016;00 - 01;130.01
17-02-2016;01 - 02;128.3
17-02-2016;02 - 03;126.88
17-02-2016;03 - 04;128
17-02-2016;04 - 05;130.76
17-02-2016;05 - 06;133.22
17-02-2016;06 - 07;137.25
17-02-2016;07 - 08;145.99
17-02-2016;08 - 09;187.18
17-02-2016;09 - 10;186.66
17-02-2016;10 - 11;147.85
17-02-2016;11 - 12;143.3
17-02-2016;12 - 13;141.06
17-02-2016;13 - 14;140.46
17-02-2016;14 - 15;139.49
17-02-2016;15 - 16;139.42
17-02-2016;16 - 17;139.94
17-02-2016;17 - 18;145.54
17-02-2016;18 - 19;147.48
17-02-2016;19 - 20;141.36
17-02-2016;20 - 21;138
17-02-2016;21 - 22;135.98
17-02-2016;22 - 23;133.15
17-02-2016;23 - 00;130.24
18-02-2016;00 - 01;133.9
18-02-2016;01 - 02;135.02
18-02-2016;02 - 03;135.09
18-02-2016;03 - 04;137.11
18-02-2016;04 - 05;141.96
18-02-2016;05 - 06;146.36
18-02-2016;06 - 07;153.82
18-02-2016;07 - 08;258.76
18-02-2016;08 - 09;288.09
18-02-2016;09 - 10;257.42
18-02-2016;10 - 11;217.94
18-02-2016;11 - 12;189.28
18-02-2016;12 - 13;177.41
18-02-2016;13 - 14;183.08
18-02-2016;14 - 15;186.66
18-02-2016;15 - 16;211.52
18-02-2016;16 - 17;233.09
18-02-2016;17 - 18;282.2
18-02-2016;18 - 19;328.4
18-02-2016;19 - 20;258.84
18-02-2016;20 - 21;234.88
18-02-2016;21 - 22;172.93
18-02-2016;22 - 23;142.63
18-02-2016;23 - 00;135.54
19-02-2016;00 - 01;137.99
19-02-2016;01 - 02;135.53
19-02-2016;02 - 03;135.3
19-02-2016;03 - 04;138.51
19-02-2016;04 - 05;142.32
19-02-2016;05 - 06;141.72
19-02-2016;06 - 07;151.72
19-02-2016;07 - 08;229.79
19-02-2016;08 - 09;280.31
19-02-2016;09 - 10;254.56
19-02-2016;10 - 11;246.58
19-02-2016;11 - 12;246.28
19-02-2016;12 - 13;229.56
19-02-2016;13 - 14;187.1
19-02-2016;14 - 15;178.66
19-02-2016;15 - 16;148.51
19-02-2016;16 - 17;147.92
19-02-2016;17 - 18;218.82
19-02-2016;18 - 19;254.49
19-02-2016;19 - 20;178.22
19-02-2016;20 - 21;142.1
19-02-2016;21 - 22;136.2
19-02-2016;22 - 23;131.95
19-02-2016;23 - 00;127.24
20-02-2016;00 - 01;132.15
20-02-2016;01 - 02;125.51
20-02-2016;02 - 03;86.11
20-02-2016;03 - 04;72.31
20-02-2016;04 - 05;71.04
20-02-2016;05 - 06;37.39
20-02-2016;06 - 07;37.76
20-02-2016;07 - 08;67.83
20-02-2016;08 - 09;64.85
20-02-2016;09 - 10;100.22
20-02-2016;10 - 11;122.08
20-02-2016;11 - 12;126.86
20-02-2016;12 - 13;126.56
20-02-2016;13 - 14;118.95
20-02-2016;14 - 15;117.68
20-02-2016;15 - 16;119.77
20-02-2016;16 - 17;124.99
20-02-2016;17 - 18;137.15
20-02-2016;18 - 19;138.5
20-02-2016;19 - 20;136.18
20-02-2016;20 - 21;127.68
20-02-2016;21 - 22;117.6
20-02-2016;22 - 23;87.98
20-02-2016;23 - 00;59.92
21-02-2016;00 - 01;69.92
21-02-2016;01 - 02;48.65
21-02-2016;02 - 03;37.98
21-02-2016;03 - 04;23.43
21-02-2016;04 - 05;3.43
21-02-2016;05 - 06;0.97
21-02-2016;06 - 07;-0.37
21-02-2016;07 - 08;59.7
21-02-2016;08 - 09;118.72
21-02-2016;09 - 10;124.17
21-02-2016;10 - 11;125.51
21-02-2016;11 - 12;124.32
21-02-2016;12 - 13;123.35
21-02-2016;13 - 14;119.09
21-02-2016;14 - 15;117.68
21-02-2016;15 - 16;116.93
21-02-2016;16 - 17;118.27
21-02-2016;17 - 18;129.17
21-02-2016;18 - 19;138.87
21-02-2016;19 - 20;135.81
21-02-2016;20 - 21;130.29
21-02-2016;21 - 22;125.51
21-02-2016;22 - 23;119.77
21-02-2016;23 - 00;114.39
22-02-2016;00 - 01;0.75
22-02-2016;01 - 02;0.15
22-02-2016;02 - 03;-6.87
22-02-2016;03 - 04;-0.45
22-02-2016;04 - 05;0.3
22-02-2016;05 - 06;130.14
22-02-2016;06 - 07;134.69
22-02-2016;07 - 08;150.43
22-02-2016;08 - 09;153.19
22-02-2016;09 - 10;152.22
22-02-2016;10 - 11;150.51
22-02-2016;11 - 12;148.57
22-02-2016;12 - 13;146.11
22-02-2016;13 - 14;143.87
22-02-2016;14 - 15;142.3
22-02-2016;15 - 16;143.49
22-02-2016;16 - 17;146.03
22-02-2016;17 - 18;151.25
22-02-2016;18 - 19;152.37
22-02-2016;19 - 20;150.06
22-02-2016;20 - 21;144.32
22-02-2016;21 - 22;139.91
22-02-2016;22 - 23;135.81
22-02-2016;23 - 00;131.93
23-02-2016;00 - 01;134.97
23-02-2016;01 - 02;129.45
23-02-2016;02 - 03;128.56
23-02-2016;03 - 04;130.35
23-02-2016;04 - 05;133.03
23-02-2016;05 - 06;142.43
23-02-2016;06 - 07;148.48
23-02-2016;07 - 08;157.13
23-02-2016;08 - 09;162.8
23-02-2016;09 - 10;158.25
23-02-2016;10 - 11;156.16
23-02-2016;11 - 12;154.75
23-02-2016;12 - 13;154.45
23-02-2016;13 - 14;153.92
23-02-2016;14 - 15;152.43
23-02-2016;15 - 16;151.01
23-02-2016;16 - 17;151.98
23-02-2016;17 - 18;156.39
23-02-2016;18 - 19;159.22
23-02-2016;19 - 20;155.12
23-02-2016;20 - 21;150.94
23-02-2016;21 - 22;145.49
23-02-2016;22 - 23;141.02
23-02-2016;23 - 00;133.56
24-02-2016;00 - 01;134.6
24-02-2016;01 - 02;127.28
24-02-2016;02 - 03;126.76
24-02-2016;03 - 04;127.51
24-02-2016;04 - 05;133.25
24-02-2016;05 - 06;141.16
24-02-2016;06 - 07;149.22
24-02-2016;07 - 08;158.84
24-02-2016;08 - 09;161.31
24-02-2016;09 - 10;159.96
24-02-2016;10 - 11;158.7
24-02-2016;11 - 12;156.98
24-02-2016;12 - 13;155.56
24-02-2016;13 - 14;153.77
24-02-2016;14 - 15;153.1
24-02-2016;15 - 16;153.1
24-02-2016;16 - 17;154.29
24-02-2016;17 - 18;159.22
24-02-2016;18 - 19;164.37
24-02-2016;19 - 20;159.74
24-02-2016;20 - 21;157.43
24-02-2016;21 - 22;152.65
24-02-2016;22 - 23;145.71
24-02-2016;23 - 00;140.49
25-02-2016;00 - 01;142.44
25-02-2016;01 - 02;140.72
25-02-2016;02 - 03;140.42
25-02-2016;03 - 04;141.99
25-02-2016;04 - 05;145.2
25-02-2016;05 - 06;155.35
25-02-2016;06 - 07;160.87
25-02-2016;07 - 08;262.49
25-02-2016;08 - 09;285.4
25-02-2016;09 - 10;256.97
25-02-2016;10 - 11;233.91
25-02-2016;11 - 12;221.68
25-02-2016;12 - 13;193.4
25-02-2016;13 - 14;189.44
25-02-2016;14 - 15;182.06
25-02-2016;15 - 16;180.49
25-02-2016;16 - 17;184.89
25-02-2016;17 - 18;232.5
25-02-2016;18 - 19;290.62
25-02-2016;19 - 20;261.75
25-02-2016;20 - 21;193.32
25-02-2016;21 - 22;158.18
25-02-2016;22 - 23;151.17
25-02-2016;23 - 00;142.89
26-02-2016;00 - 01;141.02
26-02-2016;01 - 02;137.74
26-02-2016;02 - 03;137.51
26-02-2016;03 - 04;138.78
26-02-2016;04 - 05;144.3
26-02-2016;05 - 06;151.39
26-02-2016;06 - 07;156.47
26-02-2016;07 - 08;198.55
26-02-2016;08 - 09;262.72
26-02-2016;09 - 10;243.84
26-02-2016;10 - 11;230.71
26-02-2016;11 - 12;193.4
26-02-2016;12 - 13;183.25
26-02-2016;13 - 14;156.91
26-02-2016;14 - 15;154.97
26-02-2016;15 - 16;153.41
26-02-2016;16 - 17;154.9
26-02-2016;17 - 18;193.7
26-02-2016;18 - 19;288.31
26-02-2016;19 - 20;193.4
26-02-2016;20 - 21;155.42
26-02-2016;21 - 22;151.17
26-02-2016;22 - 23;146.91
26-02-2016;23 - 00;142.29
27-02-2016;00 - 01;146.81
27-02-2016;01 - 02;144.87
27-02-2016;02 - 03;143.52
27-02-2016;03 - 04;142.7
27-02-2016;04 - 05;143.15
27-02-2016;05 - 06;145.61
27-02-2016;06 - 07;146.28
27-02-2016;07 - 08;146.96
27-02-2016;08 - 09;148.52
27-02-2016;09 - 10;148.75
27-02-2016;10 - 11;149.34
27-02-2016;11 - 12;148
27-02-2016;12 - 13;145.39
27-02-2016;13 - 14;143.08
27-02-2016;14 - 15;142.11
27-02-2016;15 - 16;142.41
27-02-2016;16 - 17;144.72
27-02-2016;17 - 18;148.15
27-02-2016;18 - 19;187.69
27-02-2016;19 - 20;149.04
27-02-2016;20 - 21;146.81
27-02-2016;21 - 22;144.12
27-02-2016;22 - 23;143.23
27-02-2016;23 - 00;140.17
28-02-2016;00 - 01;144.86
28-02-2016;01 - 02;137.17
28-02-2016;02 - 03;134.34
28-02-2016;03 - 04;133.97
28-02-2016;04 - 05;133.37
28-02-2016;05 - 06;134.49
28-02-2016;06 - 07;134.94
28-02-2016;07 - 08;135.46
28-02-2016;08 - 09;137.25
28-02-2016;09 - 10;141.87
28-02-2016;10 - 11;142.02
28-02-2016;11 - 12;141.87
28-02-2016;12 - 13;136.65
28-02-2016;13 - 14;135.68
28-02-2016;14 - 15;134.56
28-02-2016;15 - 16;133.82
28-02-2016;16 - 17;135.46
28-02-2016;17 - 18;145.3
28-02-2016;18 - 19;179.02
28-02-2016;19 - 20;182.67
28-02-2016;20 - 21;154.18
28-02-2016;21 - 22;147.09
28-02-2016;22 - 23;147.62
28-02-2016;23 - 00;145.75
29-02-2016;00 - 01;143.59
29-02-2016;01 - 02;135.83
29-02-2016;02 - 03;134.49
29-02-2016;03 - 04;134.34
29-02-2016;04 - 05;137.25
29-02-2016;05 - 06;147.39
29-02-2016;06 - 07;181.11
29-02-2016;07 - 08;257.79
29-02-2016;08 - 09;245.85
29-02-2016;09 - 10;208.78
29-02-2016;10 - 11;185.88
29-02-2016;11 - 12;175.14
29-02-2016;12 - 13;165.74
29-02-2016;13 - 14;161.64
29-02-2016;14 - 15;160.15
29-02-2016;15 - 16;161.94
29-02-2016;16 - 17;164.32
29-02-2016;17 - 18;193.49
29-02-2016;18 - 19;247.79
29-02-2016;19 - 20;227.2
29-02-2016;20 - 21;158.21
29-02-2016;21 - 22;149.26
29-02-2016;22 - 23;146.57
29-02-2016;23 - 00;140.45
01-03-2016;00 - 01;143.75
01-03-2016;01 - 02;142.11
01-03-2016;02 - 03;141.51
01-03-2016;03 - 04;141.96
01-03-2016;04 - 05;144.12
01-03-2016;05 - 06;147.48
01-03-2016;06 - 07;149.12
01-03-2016;07 - 08;179.63
01-03-2016;08 - 09;223.79
01-03-2016;09 - 10;179.55
01-03-2016;10 - 11;179.55
01-03-2016;11 - 12;179.18
01-03-2016;12 - 13;149.04
01-03-2016;13 - 14;148.15
01-03-2016;14 - 15;147.4
01-03-2016;15 - 16;146.58
01-03-2016;16 - 17;146.58
01-03-2016;17 - 18;148.15
01-03-2016;18 - 19;179.26
01-03-2016;19 - 20;147.55
01-03-2016;20 - 21;145.31
01-03-2016;21 - 22;142.41
01-03-2016;22 - 23;136.44
01-03-2016;23 - 00;128.01
02-03-2016;00 - 01;126.71
02-03-2016;01 - 02;126.56
02-03-2016;02 - 03;126.79
02-03-2016;03 - 04;127.09
02-03-2016;04 - 05;129.62
02-03-2016;05 - 06;134.99
02-03-2016;06 - 07;143.2
02-03-2016;07 - 08;168.03
02-03-2016;08 - 09;183.84
02-03-2016;09 - 10;179.67
02-03-2016;10 - 11;186.53
02-03-2016;11 - 12;186.68
02-03-2016;12 - 13;186.75
02-03-2016;13 - 14;187.72
02-03-2016;14 - 15;187.12
02-03-2016;15 - 16;186.97
02-03-2016;16 - 17;187.12
02-03-2016;17 - 18;232.92
02-03-2016;18 - 19;291.16
02-03-2016;19 - 20;268.34
02-03-2016;20 - 21;188.02
02-03-2016;21 - 22;153.56
02-03-2016;22 - 23;148.19
02-03-2016;23 - 00;144.09
03-03-2016;00 - 01;145.71
03-03-2016;01 - 02;142.43
03-03-2016;02 - 03;138.25
03-03-2016;03 - 04;134.82
03-03-2016;04 - 05;139.45
03-03-2016;05 - 06;148.84
03-03-2016;06 - 07;178.07
03-03-2016;07 - 08;225.13
03-03-2016;08 - 09;231.47
03-03-2016;09 - 10;230.72
03-03-2016;10 - 11;227.96
03-03-2016;11 - 12;232.43
03-03-2016;12 - 13;218.86
03-03-2016;13 - 14;222.14
03-03-2016;14 - 15;218.79
03-03-2016;15 - 16;225.43
03-03-2016;16 - 17;225.35
03-03-2016;17 - 18;239.07
03-03-2016;18 - 19;310.88
03-03-2016;19 - 20;242.13
03-03-2016;20 - 21;189.71
03-03-2016;21 - 22;186.5
03-03-2016;22 - 23;153.09
03-03-2016;23 - 00;147.5
04-03-2016;00 - 01;148.47
04-03-2016;01 - 02;145.79
04-03-2016;02 - 03;143.77
04-03-2016;03 - 04;142.43
04-03-2016;04 - 05;142.28
04-03-2016;05 - 06;150.49
04-03-2016;06 - 07;159.88
04-03-2016;07 - 08;230.95
04-03-2016;08 - 09;247.28
04-03-2016;09 - 10;218.65
04-03-2016;10 - 11;199.03
04-03-2016;11 - 12;177.33
04-03-2016;12 - 13;167.64
04-03-2016;13 - 14;162.42
04-03-2016;14 - 15;159.51
04-03-2016;15 - 16;159.29
04-03-2016;16 - 17;158.69
04-03-2016;17 - 18;186.8
04-03-2016;18 - 19;188.52
04-03-2016;19 - 20;159.14
04-03-2016;20 - 21;156.9
04-03-2016;21 - 22;154.14
04-03-2016;22 - 23;150.19
04-03-2016;23 - 00;147.13
05-03-2016;00 - 01;146.66
05-03-2016;01 - 02;143.01
05-03-2016;02 - 03;142.04
05-03-2016;03 - 04;141.44
05-03-2016;04 - 05;140.84
05-03-2016;05 - 06;141.81
05-03-2016;06 - 07;142.64
05-03-2016;07 - 08;147.93
05-03-2016;08 - 09;151.59
05-03-2016;09 - 10;155.76
05-03-2016;10 - 11;157.18
05-03-2016;11 - 12;156.59
05-03-2016;12 - 13;155.02
05-03-2016;13 - 14;150.92
05-03-2016;14 - 15;148.68
05-03-2016;15 - 16;148.53
05-03-2016;16 - 17;153.08
05-03-2016;17 - 18;156.36
05-03-2016;18 - 19;159.35
05-03-2016;19 - 20;157.48
05-03-2016;20 - 21;153.75
05-03-2016;21 - 22;152.26
05-03-2016;22 - 23;148.68
05-03-2016;23 - 00;145.62
06-03-2016;00 - 01;149.43
06-03-2016;01 - 02;145.18
06-03-2016;02 - 03;142.72
06-03-2016;03 - 04;139.44
06-03-2016;04 - 05;138.62
06-03-2016;05 - 06;140.48
06-03-2016;06 - 07;139.14
06-03-2016;07 - 08;140.11
06-03-2016;08 - 09;143.84
06-03-2016;09 - 10;149.14
06-03-2016;10 - 11;151.15
06-03-2016;11 - 12;153.01
06-03-2016;12 - 13;149.28
06-03-2016;13 - 14;142.87
06-03-2016;14 - 15;140.56
06-03-2016;15 - 16;140.48
06-03-2016;16 - 17;143.17
06-03-2016;17 - 18;153.46
06-03-2016;18 - 19;170.32
06-03-2016;19 - 20;163.16
06-03-2016;20 - 21;157.64
06-03-2016;21 - 22;156.22
06-03-2016;22 - 23;151.45
06-03-2016;23 - 00;146.15
07-03-2016;00 - 01;148.69
07-03-2016;01 - 02;147.27
07-03-2016;02 - 03;146.45
07-03-2016;03 - 04;145.55
07-03-2016;04 - 05;147.64
07-03-2016;05 - 06;156.75
07-03-2016;06 - 07;160.33
07-03-2016;07 - 08;180.39
07-03-2016;08 - 09;191.81
07-03-2016;09 - 10;213.74
07-03-2016;10 - 11;205.69
07-03-2016;11 - 12;191.59
07-03-2016;12 - 13;187.86
07-03-2016;13 - 14;185.84
07-03-2016;14 - 15;180.69
07-03-2016;15 - 16;170.85
07-03-2016;16 - 17;174.13
07-03-2016;17 - 18;223.14
07-03-2016;18 - 19;245.82
07-03-2016;19 - 20;213
07-03-2016;20 - 21;186.96
07-03-2016;21 - 22;162.49
07-03-2016;22 - 23;158.31
07-03-2016;23 - 00;155.33
08-03-2016;00 - 01;156.75
08-03-2016;01 - 02;153.84
08-03-2016;02 - 03;153.54
08-03-2016;03 - 04;154.13
08-03-2016;04 - 05;156.52
08-03-2016;05 - 06;160.77
08-03-2016;06 - 07;176.37
08-03-2016;07 - 08;245.9
08-03-2016;08 - 09;281.63
08-03-2016;09 - 10;254.7
08-03-2016;10 - 11;213.44
08-03-2016;11 - 12;189.65
08-03-2016;12 - 13;186.51
08-03-2016;13 - 14;183.83
08-03-2016;14 - 15;180.62
08-03-2016;15 - 16;182.71
08-03-2016;16 - 17;186.89
08-03-2016;17 - 18;241.05
08-03-2016;18 - 19;261.34
08-03-2016;19 - 20;242.76
08-03-2016;20 - 21;186.74
08-03-2016;21 - 22;171.37
08-03-2016;22 - 23;159.51
08-03-2016;23 - 00;154.43
09-03-2016;00 - 01;156.97
09-03-2016;01 - 02;153.61
09-03-2016;02 - 03;151.22
09-03-2016;03 - 04;149.81
09-03-2016;04 - 05;149.28
09-03-2016;05 - 06;157.71
09-03-2016;06 - 07;166.15
